SampleID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19
I-KO-1	-0.282827917	0.108171139	0.016321166	-0.06700899	-0.053169831	-0.035547636	0.008014988	-0.015248998	-0.00876251	-0.000251363	0.004941557	0.005406017	-0.022295391	0.02182126	0.014136759	0.025777247	-0.00735136	0.020372156	0.00700045
I-KO-2	-0.206565556	0.166761735	0.03237567	0.153967301	-0.014450804	-0.012637937	-0.049725814	-0.032157117	0.012650433	-0.018362826	0.03646025	-0.01758097	0.039118667	-0.034569372	0.001420451	-0.011275827	0.011000163	0.008530875	-0.00031394
I-KO-3	-0.130776911	0.125804478	0.017306031	0.238745534	0.09326242	-0.051384544	0.058073642	-0.028589174	0.054796424	-0.023317136	0.020108061	-0.005451437	-0.022071295	0.035704663	0.008985809	0.004415626	-0.002006728	-0.010226329	3.42E-05
I-KO-4	-0.288117211	0.145988171	0.016322333	-0.020486793	-0.041159975	-0.028255676	0.014759238	0.000322441	-0.007483836	0.008983734	-0.005902164	0.019144845	0.003566238	0.001905465	-0.007509085	0.002104233	0.01880042	0.004322951	8.86E-05
I-WT-1	-0.255481975	0.129037415	0.001812327	-0.046442905	-0.050385449	-0.02787163	-0.012524506	0.071593467	-0.013016797	-0.013448153	-0.020553079	0.025324429	0.016922145	0.018110442	-0.009309746	-0.02924741	-0.008091765	-0.006701381	0.001003465
I-WT-2	-0.280394679	0.132443316	0.012832281	-0.032751081	-0.041249129	-0.02290353	0.014022642	0.00243485	-0.012215073	0.013424818	-0.013996282	0.017616193	-0.000778111	-0.001085136	-0.011371497	0.000991372	-0.005605919	-0.008896906	-0.007542991
I-WT-3	-0.257389704	0.04187809	-0.011224674	-0.14186312	-0.031762235	0.031613521	-0.045892689	-0.039876424	-0.015680462	-0.038013288	-0.012719337	-0.019518079	-0.028320007	0.022959684	0.001369193	0.011885131	0.000919312	-0.009966765	-0.002630458
I-WT-4	-0.20050639	0.112570911	0.060998285	0.08855514	0.101586769	0.151530792	0.012800981	0.072201949	-0.023991168	0.047954312	-0.033140021	0.004740226	-0.007330581	-0.037015235	-0.002275426	0.008841863	-0.006502344	-0.0002473	0.001873326
II-KO-1	-0.046717827	-0.117721452	-0.019639423	0.001612833	0.025239707	0.018633537	-0.054975156	-0.021119571	0.063748783	0.038363232	-0.033318819	-0.023504978	0.031316683	0.041616466	-0.014707591	-0.013301019	0.001778294	0.009145903	0.001670725
II-KO-2	-0.010451887	-0.133777807	0.017407422	0.014656037	0.030558591	-0.015501311	-0.053004865	-0.030342909	0.01051673	-0.00350115	0.001428278	0.018720664	-0.016250508	-0.025323079	-0.01913662	0.019273579	0.016945796	0.009499113	-0.003637891
II-KO-3	-0.095891859	-0.088124346	-0.016151449	-0.028007664	0.067724884	0.018776323	0.022639886	-0.038178268	0.047854241	0.002506353	-0.017703739	-0.035181603	0.00399557	0.016788301	0.007818157	0.003065734	-0.014299737	-0.002103512	-0.002075205
II-KO-IL17-1	-0.017514426	-0.119450187	0.010383522	0.023419918	-0.023371425	-0.022780954	0.067902575	0.009089716	-0.005265705	-0.003009498	0.008281757	-0.024221766	-0.03514178	-0.010017064	-0.02133558	-0.022912836	0.001211867	0.012787079	-0.001240353
II-KO-IL17-2	0.005524364	-0.120028353	-0.00256907	0.042793791	-0.008048781	-0.042940968	0.034273463	-0.002911754	-0.067776325	-0.013473544	0.018266704	-0.00308913	-0.016389651	-0.01170477	0.027073813	-0.015386303	-0.002099171	-0.004292862	0.00199025
II-KO-IL17-3	-0.00411683	-0.139376701	0.019543639	0.036027139	-0.043634586	0.032114158	0.09118049	0.033724847	-0.043003259	-0.010075431	0.014948166	-0.010747165	0.010432632	0.009052011	0.002392398	0.014810555	-0.003333843	0.012095532	-0.003698645
II-KO-IL17-4	-0.025742916	-0.114924811	0.00310157	-0.015200286	0.032920876	-0.078636402	0.012104737	0.009764212	-0.036498613	0.051308607	0.013709246	0.008617507	0.011529897	-0.010233959	0.017972475	0.00601276	-0.011155665	0.000415088	-0.002489458
II-KO-IL17-5	-0.006285657	-0.114710846	-0.026520358	0.00663331	-0.034915748	-0.061569669	-0.051716751	0.090998236	0.053658423	0.010592481	0.002652313	-0.007040101	0.005356241	-0.015045947	-0.017037225	0.006502787	-0.013225513	0.002760545	0.000959103
II-KO-IL17-6	0.226122944	0.00562463	0.148557179	-0.002351814	-0.123072448	0.036385137	0.025859267	0.034717492	0.068644075	0.023799102	0.003219865	-0.023912831	0.011172698	0.006946664	0.026140575	0.000955509	0.006392106	-0.003031102	-0.001595775
II-WT-1	0.058545613	-0.137650988	-0.025531066	0.1105974	-0.065511948	0.021429473	-0.073840117	0.01172013	0.000283828	-0.09041848	0.005014367	0.030800045	-0.009399967	-0.012050306	-0.007245939	0.005927828	-0.009756408	-0.006583094	0.001395162
II-WT-2	-0.021176272	-0.149342405	0.035685739	0.046604542	-0.031852523	0.067477185	-0.016761588	-0.084944557	0.014593259	-0.008995769	-0.019158493	0.041127907	-0.005259305	-0.004065746	0.000126827	-0.004814897	-0.011519667	0.001946008	9.26E-06
II-WT-3	-0.007982448	-0.13864152	0.004891911	-0.006038098	0.083632229	-0.032777031	-0.007888891	0.038847662	-0.022141966	-0.042932355	-0.066363161	0.011475029	0.007319629	0.008157313	0.027139574	-0.017599653	0.015679082	0.002648376	0.000337362
IIIA-KO-1	-0.039843843	-0.118008437	-0.019774006	-0.032837663	0.040605678	-0.01020156	0.010271415	0.012233572	-0.010625026	0.011441747	0.012814544	-0.017203066	0.000147379	-0.001663895	-0.015680609	0.017877696	0.013430685	-0.021876526	0.00396905
IIIA-KO-2	0.25221216	0.031782271	0.166377376	-0.010293679	0.062255895	0.038342031	-0.071448369	0.044587695	-0.073614559	-0.028899625	0.038694384	-0.018812145	0.013905709	0.050340451	-0.00685982	0.005520118	0.002809762	0.003701084	-0.001127125
IIIA-KO-3	-0.20024174	-0.018827159	-0.024639988	-0.124275581	0.007241312	0.039037548	-0.028544887	-0.040315614	-0.006398542	-0.017490367	0.037102355	-0.062552761	0.015722375	-0.039946686	0.016491227	-0.01329516	-0.003506117	-0.003925366	0.001316832
IIIA-WT-1	0.167223244	0.023643004	0.14044633	-0.083261927	0.035007518	-0.046145669	0.063635976	-0.047066261	0.003947208	-0.02336322	-0.061195018	0.006370434	0.013856421	-0.027203022	-0.007757369	0.007941527	0.002141625	-0.001119252	0.00170757
IIIA-WT-2	-0.014627661	-0.140325389	0.003367959	0.030868535	-0.107639019	0.018947039	0.021648705	0.009670581	0.013533805	0.055474972	0.014316469	0.015858775	0.003459664	0.005759342	0.003637779	0.003883189	0.012526592	-0.012807372	0.002274588
IIIA-WT-3	0.211978064	0.043135502	0.182275851	-0.040965526	0.044616997	-0.044049243	-0.036010593	-0.053643515	-0.017979974	0.066360146	0.029996341	0.020404292	-0.022968998	-0.002239401	-0.018384821	-0.016970386	-0.007467802	-0.003249919	0.001316583
IIIB-KO-1	0.27994886	0.095813786	-0.06869416	0.006784976	-0.055001645	0.067073143	0.070832787	-0.059633244	-0.033864117	-0.01621873	0.000568002	0.023029681	0.045114483	0.012899251	-0.01244527	-0.004949423	-0.001903054	-0.000394735	0.001316658
IIIB-KO-2	0.272021368	0.122189122	-0.07955396	-0.023149821	0.012442681	-0.05537689	0.038076093	0.02329263	0.003922907	-0.033593229	-0.001691734	-0.022076293	0.018383223	-0.013676697	-0.02455524	0.009019079	-0.005930131	-0.002716104	0.001287664
IIIB-KO-3	0.323572404	0.146707925	-0.082530814	0.02566205	-0.05301232	0.031853619	-0.022483305	0.007083907	-0.003089376	0.009791955	-0.027003033	-0.028017137	-0.07754408	-0.001778792	0.000801077	-0.011975653	0.00474086	0.001695423	7.17E-05
IIIB-KO-4	-0.030834637	-0.02765774	-0.161495494	-0.101189537	0.077302013	0.040213822	0.014429693	0.011488387	0.02743581	0.012627244	0.053571319	0.06416736	-0.006473396	0.010115959	0.007807572	-0.008844508	0.004912935	0.002904273	-5.27E-05
IIIB-WT-1	0.220195994	0.092281018	-0.02623638	-0.126286804	0.061262792	0.022286339	0.036288701	0.037384352	0.076458019	-0.040108504	0.031335633	0.014864726	-0.007277735	-0.013184602	0.005986337	-0.000589207	0.002115496	0.003609411	-0.001032837
IIIB-WT-2	0.32060431	0.148543212	-0.064972258	0.019835936	-0.00798358	-0.039901441	-0.079846579	-0.00938448	-0.003034121	0.029654641	-0.020992832	0.019171053	0.015447822	-0.011083149	0.035314875	0.012935456	-0.003586256	-0.000249596	-0.001499743
IIIB-WT-3	0.085539023	0.006192415	-0.260473491	0.055646844	0.010561085	-0.007231576	-0.012151168	-0.01774424	-0.047602517	0.043189326	-0.013691897	-0.02792972	0.010733328	0.009709586	-0.009003063	0.003420993	0.001936487	0.001954307	-0.000685529